fcode,fname,fmaker,fmaterial,fimage,year,allergyList,nutrient1,nutrient2,nutrient3,nutrient4,nutrient5,nutrient6,nutrient7,nutrient8,nutrient9
1,서울우유바나나,서울우유,"원유 60.12%(국산),정제수,액상과당,정백당,유크림 2.93%(국산),탈지분유2.143%,바나나농축과즙(바나나과즙 1%,이스라엘산),올리고당,합성착향료 ( 바나나향 )",img/서울우유바나나.jpg,2017,우유,340,44,10,14,40.44,0.17,0.04,8,0
2,맛있는우유GT,남양유업,"1A등급 원유 ( 국산 ) 100% ( 세균수기준 )",img/맛있는우유GT.jpg,2017,우유,280,20,12,16,18,0.2,0.06,9.6,0
3,"대만식 우육탕면",마켓컬리,"숙면(밀가루(캐나다산),정제소금(국내산),변성전분),양념육[소고기(우사태:호주산),데리야끼차슈소스],대파(국내산),우양지농충액[양지(호주산),우정육(호주산)],청경채(국내산),무즙농축액[무(국내산)],소지방(국내산),향미유,L-글루탐산나트륨(혼합제제류-향미증진제),고춧가루(쭝국산),마늘(꾹내산),중화두반장,사골엑기스,프리미엄 굴소스, 설탕, 흑후추, 정제수, 닭고기, 대두, 밀, 쇠고기, 조개류, 우유, 계란 함유",img/cowNoodle.jpg,2019,"대두, 우유, 소고기, 닭고기",575,107,28,4.4,2,2.33,0.025,3.5,0
4,"8無 두유 크림 쌀빵",마켓컬리,"쌀가루(활성글루텐 포함), 두유액, 유기황설탕, 현미유, 고구마전분, 박력쌀가루, 죽염, 바닐라빈, 생효모, 밀, 대두 함유",img/riceBread.jpg,2019,대두,245.5,34.2,7,6.5,14.5,0.2348,0,1.4,0
5,"카우 모짜렐라 치즈",알필라뜨,"우유, 구연산, 소금, 레닛, 젖산발효균, 충진수(정제수, 소금)",img/cheeze.jpg,2019,우유,260,2,18,20,2,0.4,0.06,13,0.1
6,"고구마 닭 치즈그라탕",베이비본,"고구마(국산:무농약),정제수,우유(국산),닭가슴살(국산:무항생제),스위트콘,양파(국산:무농약),치즈[유기농자연치즈(독일산),우유칼슘(덴마크산)],닭고기,우유 함유",img/sweetPotatoGratang.jpg,2019,"우유, 닭고기",170,22,9,5,9,0.055,0.025,2.5,0
7,카스도스,츠타야,"계란,설탕,밀가루(쏘맥분),물엿,계란,밀 함유",img/casdots.jpg,2019,,498,78.8,12.5,14.8,2.2,0.049,0.28,3.2,1.8
8,석류즙,더자연스런,"석류 농축액(22%, 정재수)",img/Pomegranate.jpg,2019,,50,12,0,0,11,0,0,0,0
9,"차돌듬뿍 묵은지볶음밥","LOTS OF LOVE","쌀(국산), 차돌박이(미국산), 묵은지([배추(국산),고춧가루(국산),마늘(국산),정제소금,멸치젓],대파,양파,청양고추페이스트,현미유,설탕,고추장,마가린,다시다쇠고기,치킨스톡P,창진간장,가공버터,참기름,고추맛기름,정제소금,파프리카추출색소,쇠고기,닭고기,대두,밀,우유 함유",img/bokkemBab.jpg,2019,"대두, 우유, 닭고기",535,66,11,25,7,1.12,0.04,10,0
10,타마고산도,CU,"열가열제품[전란액(국산)40$, 난백액(숫산),설탕,전지분유,변성전분],빵류(미국산,캐나다),설탕,쇼트닝(인도네이사산),정제소금,효모,마요네즈,난황액,우유,대두,밀,쇠고기,계란 함유",img/eggsando.jpg,2019,"대두, 우유",396,39,24,16,20,1.19,0.42,4,0.5
11,진한교자칼국수,비비고,"밀가루(밀:호주산), 정제수, 혼합야채JH(중국산/호박, 양파, 부추, 목이버섯, 홍고추), 신비비고물만두(돼지고기(국산),대파(국산 70%, 중국산 30%), 밀가루1, 밀가루2, 부추), 닭고기추출농액CJ,다진마늘, 로스티드치킨엑기스, 치킨스톡베이스, 다진양파, 정제소금, 변성전분, 치킨시즈닝오일, 짜장시즈닝오일-1, 혼합체제(변성전분, 치킨시즈닝오일, 짜장시즈닝오일-1, 혼합제제(변성전분, 말토덱스티린), 소스, 야채, 짬뽕베이스, 마늘엑기스H, 청양고추엑기스C,글루텐, 양조간장, 설탕, 복합조미식품, 흑후추가루 *밀,대두,닭고기,돼지고기,쇠고기,조개류(굴,가리비 포함)",img/cal.jpg,2019,"대두, 닭고기, 돼지고기",498,89,13,10,7,2.14,0.01,2,0
12,"고메 중화짬뽕",비비고,"밀가루(밀:호주산), 정제수, 혼합야채JP(중국산/배추,청경채,양파,표고버섯,당근), 정제수,변성전분,글루템(프랑스산),치킨본엑기스300,매운볶음양념분C,정제소금,고춧가루,사골엑기스-씨,치킨스톡베이스,돈골농축액,짬뽕소스LH,L-글루탐산나트륨(향미증진제),포크엑기스P,호스티드치킨엑기스,흰다리새우,짬뽕양미류,홍합엑기스NM,바지락농축액,붉은대게농축액,야채짬뽕베이스,해물짬뽕시즈닝오일,혼합제제(탄산칼륨,탄산나트륨,제이인산나트륨),난백분,양파시즈닝오닐,양조간장,향미증진제,혼합제제(변성전분,말토덱스트린),설탕,피자황색소,후추가루,복합조미식품,진탄검,밀,대두,난류,우유,소고기,돼지고기,닭고기,오징어,새우,게,조개류(굴,홍합,가리비포함)",img/gome.jpg,2019,"대두, 우유, 게, 새우, 소고기, 닭고기, 돼지고기",464,68,13,11,4,2.13,0.09,2.4,0.1
